id,label
1,0.0
2,0.0
3,0.5635
4,0.0
5,0.9995
6,0.9362
7,0.9641
8,0.9801
9,0.9947
10,0.0961
11,0.5845
12,0.0068
13,1.0
14,0.0004
15,0.9997
16,0.9975
17,0.9994
18,0.9988
19,0.9998
20,0.6418
21,0.0003
22,0.9998
23,0.2946
24,0.0006
25,0.6728
26,1.0
27,0.9851
28,0.9964
29,0.9817
30,0.2481
31,0.9998
32,1.0
33,0.9763
34,0.0001
35,0.0
36,0.9999
37,0.0
38,1.0
39,0.0
40,0.0173
41,0.2719
42,0.9999
43,0.0
44,1.0
45,0.0082
46,0.1423
47,0.0
48,0.9998
49,0.0002
50,0.0189
51,0.9861
52,0.7937
53,0.0
54,0.0006
55,0.3497
56,0.0043
57,1.0
58,0.0
59,0.1515
60,1.0
61,0.9737
62,0.0
63,0.2285
64,0.9462
65,0.0995
66,0.0388
67,1.0
68,0.0
69,0.9677
70,0.9701
71,0.7756
72,0.0002
73,0.9945
74,0.9451
75,0.3698
76,0.9999
77,0.0046
78,0.0
79,0.0062
80,0.9999
81,0.5531
82,0.0002
83,0.9997
84,0.0015
85,0.9978
86,0.0001
87,0.0004
88,0.9974
89,0.0
90,0.9971
91,0.0256
92,0.0001
93,0.0
94,0.0011
95,0.0005
96,1.0
97,0.0
98,0.9997
99,0.0107
100,0.9838
101,0.0
102,0.0
103,1.0
104,0.9996
105,1.0
106,0.4605
107,0.9995
108,1.0
109,0.0002
110,0.0
111,0.0
112,0.9995
113,0.0431
114,0.9443
115,0.9834
116,0.9157
117,0.9974
118,1.0
119,0.9997
120,0.1327
121,0.0038
122,1.0
123,0.0
124,0.0
125,0.9971
126,0.9998
127,0.998
128,0.9837
129,0.0552
130,0.9936
131,0.9999
132,0.0
133,0.0001
134,1.0
135,0.0
136,0.0003
137,0.0
138,0.9922
139,0.0
140,0.9835
141,0.9998
142,0.285
143,0.0448
144,0.0254
145,0.0
146,0.0001
147,0.9949
148,1.0
149,0.9933
150,0.2588
151,0.9851
152,1.0
153,0.9993
154,0.0009
155,0.0643
156,0.5174
157,0.0028
158,0.7658
159,0.0
160,0.9983
161,0.0044
162,0.2323
163,0.0018
164,0.9993
165,0.0
166,0.9999
167,0.0134
168,0.0004
169,0.0106
170,0.0
171,0.0
172,0.0011
173,0.0609
174,0.0
175,0.693
176,0.9997
177,1.0
178,0.7353
179,0.9996
180,0.969
181,0.9999
182,0.0001
183,0.9996
184,0.9987
185,0.0329
186,0.7027
187,0.9864
188,0.0
189,0.9486
190,0.6452
191,0.0821
192,0.0
193,0.0917
194,0.0126
195,0.9988
196,0.0
197,0.0019
198,0.9996
199,0.6729
200,0.0874
201,0.9927
202,0.006
203,0.0
204,0.0002
205,0.0
206,0.9998
207,0.9931
208,0.9539
209,0.9287
210,0.9498
211,0.9997
212,0.0013
213,0.0
214,0.997
215,0.9851
216,0.0692
217,0.9954
218,0.9978
219,0.9965
220,0.9999
221,0.0
