id,label
1,0.0004
2,0.0114
3,0.6121
4,0.0027
5,0.9992
6,0.9564
7,0.9505
8,0.9841
9,0.9476
10,0.0189
11,0.6874
12,0.0257
13,0.9996
14,0.5698
15,0.9859
16,0.995
17,0.9966
18,0.9963
19,0.9997
20,0.8696
21,0.0468
22,0.9183
23,0.3718
24,0.0565
25,0.5314
26,0.9994
27,0.2611
28,0.9945
29,0.9995
30,0.7352
31,0.9988
32,0.9985
33,0.8845
34,0.0185
35,0.0217
36,0.9968
37,0.0
38,0.9998
39,0.0028
40,0.3669
41,0.8408
42,0.5371
43,0.0071
44,1.0
45,0.0835
46,0.1305
47,0.0157
48,0.9923
49,0.1353
50,0.9036
51,0.9728
52,0.9994
53,0.0439
54,0.4705
55,0.9807
56,0.9819
57,0.9999
58,0.0643
59,0.9597
60,0.9955
61,0.9978
62,0.0498
63,0.3701
64,0.0818
65,0.1267
66,0.9818
67,1.0
68,0.0004
69,0.9951
70,0.9873
71,0.7054
72,0.9146
73,0.9729
74,0.9365
75,0.1696
76,0.9959
77,0.0009
78,0.0066
79,0.1375
80,0.9992
81,0.3508
82,0.004
83,0.9994
84,0.1144
85,0.9979
86,0.4615
87,0.1311
88,0.9999
89,0.0167
90,0.9993
91,0.5636
92,0.0018
93,0.1173
94,0.0045
95,0.1033
96,0.5735
97,0.0074
98,0.8516
99,0.9165
100,0.9393
101,0.6055
102,0.7684
103,0.9994
104,0.8529
105,1.0
106,0.4198
107,0.9886
108,0.9831
109,0.0799
110,0.0024
111,0.0699
112,0.9977
113,0.2064
114,0.9902
115,0.9804
116,0.9294
117,0.9676
118,0.9995
119,0.9994
120,0.1029
121,0.2843
122,0.9641
123,0.0012
124,0.0089
125,0.9122
126,0.9813
127,0.8101
128,0.9997
129,0.5957
130,0.9999
131,0.992
132,0.0243
133,0.0598
134,1.0
135,0.0042
136,0.2533
137,0.002
138,0.9867
139,0.0012
140,0.9986
141,0.9997
142,0.0078
143,0.3983
144,0.9768
145,0.0003
146,0.4062
147,0.9992
148,0.9472
149,0.8668
150,0.1262
151,0.9874
152,0.9923
153,0.9999
154,0.0483
155,0.1164
156,0.3661
157,0.006
158,0.5158
159,0.0041
160,0.9038
161,0.1498
162,0.935
163,0.6271
164,1.0
165,0.0
166,0.9961
167,0.2092
168,0.474
169,0.2559
170,0.003
171,0.0968
172,0.0765
173,0.4416
174,0.0058
175,0.7759
176,0.9778
177,1.0
178,0.9439
179,0.9834
180,0.9865
181,0.9999
182,0.11
183,1.0
184,0.9772
185,0.1415
186,0.9446
187,0.8555
188,0.2238
189,0.9938
190,0.5918
191,0.0233
192,0.0054
193,0.3217
194,0.2562
195,0.9996
196,0.0001
197,0.4988
198,0.9766
199,0.2088
200,0.8755
201,0.8967
202,0.0626
203,0.0626
204,0.2103
205,0.0109
206,0.9859
207,0.9411
208,0.817
209,0.9993
210,0.9569
211,0.9999
212,0.1963
213,0.1302
214,0.9979
215,0.8229
216,0.1063
217,0.9991
218,0.8856
219,0.9287
220,0.9938
221,0.0566
222,0.9995
223,0.8838
224,0.0016
225,0.9998
226,0.0188
227,0.3337
228,0.0023
229,0.9933
230,0.08
231,0.0015
232,0.0248
233,0.0045
234,0.809
235,0.437
236,0.2201
237,0.9672
238,0.9998
239,0.5325
240,0.8564
241,0.9998
242,0.9919
243,0.7327
244,0.9996
245,0.0032
246,0.3542
247,0.0009
